Policy,Sample,Gender,RatingArea,NCD,ProtectedNCD,DrivingRestriction,VehicleAge,LossYear,Exposures,DevelopedLoss,PurePrem
116,TRAIN,Female,2B,4+,N,Any,3,2014,0.04,20346.03858,508650.9645
117,TRAIN,Female,2B,4+,N,Any,3,2014,0.04,20346.03858,508650.9645
119,TRAIN,Female,2B,4+,N,Any,3,2014,0.04,20346.03858,508650.9645
120,TRAIN,Female,2B,4+,N,Any,3,2014,0.04,20346.03858,508650.9645
122,TRAIN,Female,3B,4+,Y,Named,2,2014,0.07,34965.33356,499504.7651
123,TRAIN,Female,3B,4+,Y,Named,2,2014,0.07,34965.33356,499504.7651
124,TRAIN,Female,3B,4+,Y,Named,2,2014,0.07,34965.33356,499504.7651
125,TRAIN,Female,3B,4+,Y,Named,2,2014,0.07,34965.33356,499504.7651
126,TRAIN,Male,1B,1,N,Any,4,2013,0.07,34464.68168,492352.5954
127,TRAIN,Male,1B,1,N,Any,4,2013,0.07,34464.68168,492352.5954
128,TRAIN,Male,1B,1,N,Any,4,2013,0.07,34464.68168,492352.5954
129,TRAIN,Male,1B,1,N,Any,4,2013,0.07,34464.68168,492352.5954
130,TRAIN,Male,1B,1,N,Any,4,2013,0.07,34464.68168,492352.5954
131,TRAIN,Male,2A,1,N,Named,4,2013,0.13,63213.96426,486261.2635
132,TRAIN,Male,2A,1,N,Named,4,2013,0.13,63213.96426,486261.2635
133,TRAIN,Male,2A,1,N,Named,4,2013,0.13,63213.96426,486261.2635
134,TRAIN,Male,2A,1,N,Named,4,2013,0.13,63213.96426,486261.2635
135,TRAIN,Male,2A,1,N,Named,4,2013,0.13,63213.96426,486261.2635
136,TRAIN,Male,2A,4+,N,Any,1,2014,0.09,40961.55725,455128.4139
137,TRAIN,Male,2A,4+,N,Any,1,2014,0.09,40961.55725,455128.4139
138,TRAIN,Male,2A,4+,N,Any,1,2014,0.09,40961.55725,455128.4139
139,TRAIN,Male,2A,4+,N,Any,1,2014,0.09,40961.55725,455128.4139
140,TRAIN,Male,2A,4+,N,Any,1,2014,0.09,40961.55725,455128.4139
142,TRAIN,Female,5B,3,N,Named,6,2014,0.02,9096.527982,454826.3991
143,TRAIN,Female,5B,3,N,Named,6,2014,0.02,9096.527982,454826.3991
144,TRAIN,Female,5B,3,N,Named,6,2014,0.02,9096.527982,454826.3991
145,TRAIN,Female,5B,3,N,Named,6,2014,0.02,9096.527982,454826.3991
146,TRAIN,Male,3A,0,N,Any,4,2014,0.04,17881.46232,447036.558
147,TRAIN,Male,3A,0,N,Any,4,2014,0.04,17881.46232,447036.558
148,TRAIN,Male,3A,0,N,Any,4,2014,0.04,17881.46232,447036.558
149,TRAIN,Male,3A,0,N,Any,4,2014,0.04,17881.46232,447036.558
150,TRAIN,Male,3A,0,N,Any,4,2014,0.04,17881.46232,447036.558
151,TRAIN,Female,4A,4+,N,Any,5,2014,0.04,17242.05955,431051.4888
152,TRAIN,Female,4A,4+,N,Any,5,2014,0.04,17242.05955,431051.4888
153,TRAIN,Female,4A,4+,N,Any,5,2014,0.04,17242.05955,431051.4888
155,TRAIN,Female,4A,4+,N,Any,5,2014,0.04,17242.05955,431051.4888
156,TRAIN,Female,4A,3,N,Any,6,2013,0.05,21130.8644,422617.288
158,TRAIN,Female,4A,3,N,Any,6,2013,0.05,21130.8644,422617.288
159,TRAIN,Female,4A,3,N,Any,6,2013,0.05,21130.8644,422617.288
161,TRAIN,Male,3A,1,N,Named,8,2013,0.02,8315.427741,415771.3871
162,TRAIN,Male,3A,1,N,Named,8,2013,0.02,8315.427741,415771.3871
163,TRAIN,Male,3A,1,N,Named,8,2013,0.02,8315.427741,415771.3871
164,TRAIN,Male,3A,1,N,Named,8,2013,0.02,8315.427741,415771.3871
165,TRAIN,Male,3A,1,N,Named,8,2013,0.02,8315.427741,415771.3871
166,TRAIN,Male,2A,0,N,Named,8,2014,0.02,8217.101284,410855.0642
168,TRAIN,Male,2A,0,N,Named,8,2014,0.02,8217.101284,410855.0642
169,TRAIN,Male,2A,0,N,Named,8,2014,0.02,8217.101284,410855.0642
170,TRAIN,Male,2A,0,N,Named,8,2014,0.02,8217.101284,410855.0642
171,TRAIN,Female,2A,0,N,Any,9,2014,0.03,12077.02446,402567.482
172,TRAIN,Female,2A,0,N,Any,9,2014,0.03,12077.02446,402567.482
173,TRAIN,Female,2A,0,N,Any,9,2014,0.03,12077.02446,402567.482
174,TRAIN,Female,2A,0,N,Any,9,2014,0.03,12077.02446,402567.482
175,TRAIN,Female,2A,0,N,Any,9,2014,0.03,12077.02446,402567.482
176,TRAIN,Female,3A,0,N,Any,7,2014,0.03,11977.74846,399258.282
178,TRAIN,Female,3A,0,N,Any,7,2014,0.03,11977.74846,399258.282
179,TRAIN,Female,3A,0,N,Any,7,2014,0.03,11977.74846,399258.282
180,TRAIN,Female,3A,0,N,Any,7,2014,0.03,11977.74846,399258.282
181,TRAIN,Male,2A,0,N,Any,3,2013,0.04,15792.67358,394816.8395
182,TRAIN,Male,2A,0,N,Any,3,2013,0.04,15792.67358,394816.8395
183,TRAIN,Male,2A,0,N,Any,3,2013,0.04,15792.67358,394816.8395
185,TRAIN,Male,2A,0,N,Any,3,2013,0.04,15792.67358,394816.8395
188,TRAIN,Male,2B,1,N,Any,2,2014,0.04,15408.95331,385223.8328
189,TRAIN,Male,2B,1,N,Any,2,2014,0.04,15408.95331,385223.8328
190,TRAIN,Male,2B,1,N,Any,2,2014,0.04,15408.95331,385223.8328
191,TRAIN,Female,2B,0,N,Named,1,2013,0.05,19176.71411,383534.2822
192,TRAIN,Female,2B,0,N,Named,1,2013,0.05,19176.71411,383534.2822
193,TRAIN,Female,2B,0,N,Named,1,2013,0.05,19176.71411,383534.2822
194,TRAIN,Female,2B,0,N,Named,1,2013,0.05,19176.71411,383534.2822
195,TRAIN,Female,2B,0,N,Named,1,2013,0.05,19176.71411,383534.2822
196,TRAIN,Female,2A,3,N,Named,7,2013,0.03,11489.19612,382973.204
197,TRAIN,Female,2A,3,N,Named,7,2013,0.03,11489.19612,382973.204
198,TRAIN,Female,2A,3,N,Named,7,2013,0.03,11489.19612,382973.204
199,TRAIN,Female,2A,3,N,Named,7,2013,0.03,11489.19612,382973.204
200,TRAIN,Female,2A,3,N,Named,7,2013,0.03,11489.19612,382973.204
201,TRAIN,Male,1B,0,N,Any,1,2014,0.07,26568.87052,379555.2931
202,TRAIN,Male,1B,0,N,Any,1,2014,0.07,26568.87052,379555.2931
203,TRAIN,Male,1B,0,N,Any,1,2014,0.07,26568.87052,379555.2931
204,TRAIN,Male,1B,0,N,Any,1,2014,0.07,26568.87052,379555.2931
205,TRAIN,Male,1B,0,N,Any,1,2014,0.07,26568.87052,379555.2931
206,TRAIN,Male,1A,1,N,Any,1,2014,0.1,36825.32948,368253.2948
207,TRAIN,Male,1A,1,N,Any,1,2014,0.1,36825.32948,368253.2948
208,TRAIN,Male,1A,1,N,Any,1,2014,0.1,36825.32948,368253.2948
209,TRAIN,Male,1A,1,N,Any,1,2014,0.1,36825.32948,368253.2948
210,TRAIN,Male,1A,1,N,Any,1,2014,0.1,36825.32948,368253.2948
211,TRAIN,Female,3A,1,N,Named,1,2013,0.12,44095.71414,367464.2845
213,TRAIN,Female,3A,1,N,Named,1,2013,0.12,44095.71414,367464.2845
214,TRAIN,Female,3A,1,N,Named,1,2013,0.12,44095.71414,367464.2845
215,TRAIN,Female,3A,1,N,Named,1,2013,0.12,44095.71414,367464.2845
216,TRAIN,Male,4B,3,N,Named,5,2014,0.01,3582.801983,358280.1983
217,TRAIN,Male,4B,3,N,Named,5,2014,0.01,3582.801983,358280.1983
219,TRAIN,Male,4B,3,N,Named,5,2014,0.01,3582.801983,358280.1983
220,TRAIN,Male,4B,3,N,Named,5,2014,0.01,3582.801983,358280.1983
221,TRAIN,Male,5A,4+,Y,Any,8,2014,0.01,3561.628547,356162.8547
222,TRAIN,Male,5A,4+,Y,Any,8,2014,0.01,3561.628547,356162.8547
223,TRAIN,Male,5A,4+,Y,Any,8,2014,0.01,3561.628547,356162.8547
224,TRAIN,Male,5A,4+,Y,Any,8,2014,0.01,3561.628547,356162.8547
225,TRAIN,Male,5A,4+,Y,Any,8,2014,0.01,3561.628547,356162.8547
226,TRAIN,Female,1A,2,N,Any,4,2013,0.04,14215.59945,355389.9863
227,TRAIN,Female,1A,2,N,Any,4,2013,0.04,14215.59945,355389.9863
228,TRAIN,Female,1A,2,N,Any,4,2013,0.04,14215.59945,355389.9863
229,TRAIN,Female,1A,2,N,Any,4,2013,0.04,14215.59945,355389.9863
231,TRAIN,Male,4B,2,N,Named,7,2013,0.04,14153.56817,353839.2043
232,TRAIN,Male,4B,2,N,Named,7,2013,0.04,14153.56817,353839.2043
235,TRAIN,Male,4B,2,N,Named,7,2013,0.04,14153.56817,353839.2043
236,TRAIN,Male,3A,0,N,Named,11,2014,0.04,13928.27103,348206.7758
237,TRAIN,Male,3A,0,N,Named,11,2014,0.04,13928.27103,348206.7758
238,TRAIN,Male,3A,0,N,Named,11,2014,0.04,13928.27103,348206.7758
239,TRAIN,Male,3A,0,N,Named,11,2014,0.04,13928.27103,348206.7758
240,TRAIN,Male,3A,0,N,Named,11,2014,0.04,13928.27103,348206.7758
241,TRAIN,Female,2B,3,N,Any,4,2013,0.05,17398.02182,347960.4364
242,TRAIN,Female,2B,3,N,Any,4,2013,0.05,17398.02182,347960.4364
243,TRAIN,Female,2B,3,N,Any,4,2013,0.05,17398.02182,347960.4364
244,TRAIN,Female,2B,3,N,Any,4,2013,0.05,17398.02182,347960.4364
245,TRAIN,Female,2B,3,N,Any,4,2013,0.05,17398.02182,347960.4364
246,TRAIN,Female,5B,3,N,Named,0,2013,0.03,10328.10807,344270.269
247,TRAIN,Female,5B,3,N,Named,0,2013,0.03,10328.10807,344270.269
248,TRAIN,Female,5B,3,N,Named,0,2013,0.03,10328.10807,344270.269
249,TRAIN,Female,5B,3,N,Named,0,2013,0.03,10328.10807,344270.269
250,TRAIN,Female,5B,3,N,Named,0,2013,0.03,10328.10807,344270.269
251,TRAIN,Male,4A,4+,N,Any,8,2013,0.04,13707.65645,342691.4113
254,TRAIN,Male,4A,4+,N,Any,8,2013,0.04,13707.65645,342691.4113
255,TRAIN,Male,4A,4+,N,Any,8,2013,0.04,13707.65645,342691.4113
256,TRAIN,Female,1B,3,N,Any,5,2013,0.04,13607.24374,340181.0935
257,TRAIN,Female,1B,3,N,Any,5,2013,0.04,13607.24374,340181.0935
258,TRAIN,Female,1B,3,N,Any,5,2013,0.04,13607.24374,340181.0935
260,TRAIN,Female,1B,3,N,Any,5,2013,0.04,13607.24374,340181.0935
261,TRAIN,Male,2B,4+,N,Any,4,2014,0.04,13363.70441,334092.6103
262,TRAIN,Male,2B,4+,N,Any,4,2014,0.04,13363.70441,334092.6103
263,TRAIN,Male,2B,4+,N,Any,4,2014,0.04,13363.70441,334092.6103
265,TRAIN,Male,2B,4+,N,Any,4,2014,0.04,13363.70441,334092.6103
266,TRAIN,Male,4A,3,N,Any,1,2013,0.07,23084.55226,329779.318
267,TRAIN,Male,4A,3,N,Any,1,2013,0.07,23084.55226,329779.318
268,TRAIN,Male,4A,3,N,Any,1,2013,0.07,23084.55226,329779.318
269,TRAIN,Male,4A,3,N,Any,1,2013,0.07,23084.55226,329779.318
270,TRAIN,Male,4A,3,N,Any,1,2013,0.07,23084.55226,329779.318
271,TRAIN,Male,3A,4+,Y,Named,5,2014,0.02,6555.365714,327768.2857
272,TRAIN,Male,3A,4+,Y,Named,5,2014,0.02,6555.365714,327768.2857
276,TRAIN,Male,1A,4+,N,Any,1,2014,0.04,12972.89994,324322.4985
278,TRAIN,Male,1A,4+,N,Any,1,2014,0.04,12972.89994,324322.4985
279,TRAIN,Male,1A,4+,N,Any,1,2014,0.04,12972.89994,324322.4985
280,TRAIN,Male,1A,4+,N,Any,1,2014,0.04,12972.89994,324322.4985
281,TRAIN,Female,4B,4+,Y,Any,4,2013,0.1,32364.93296,323649.3296
282,TRAIN,Female,4B,4+,Y,Any,4,2013,0.1,32364.93296,323649.3296
284,TRAIN,Female,4B,4+,Y,Any,4,2013,0.1,32364.93296,323649.3296
287,TRAIN,Female,1A,0,N,Any,4,2013,0.07,22454.99098,320785.5854
288,TRAIN,Female,1A,0,N,Any,4,2013,0.07,22454.99098,320785.5854
289,TRAIN,Female,1A,0,N,Any,4,2013,0.07,22454.99098,320785.5854
290,TRAIN,Female,1A,0,N,Any,4,2013,0.07,22454.99098,320785.5854
291,TRAIN,Male,2A,4+,N,Named,0,2013,0.1,31897.4193,318974.193
292,TRAIN,Male,2A,4+,N,Named,0,2013,0.1,31897.4193,318974.193
293,TRAIN,Male,2A,4+,N,Named,0,2013,0.1,31897.4193,318974.193
294,TRAIN,Male,2A,4+,N,Named,0,2013,0.1,31897.4193,318974.193
296,TRAIN,Female,2A,4+,Y,Any,10,2014,0.01,3182.314902,318231.4902
297,TRAIN,Female,2A,4+,Y,Any,10,2014,0.01,3182.314902,318231.4902
298,TRAIN,Female,2A,4+,Y,Any,10,2014,0.01,3182.314902,318231.4902
299,TRAIN,Female,2A,4+,Y,Any,10,2014,0.01,3182.314902,318231.4902
300,TRAIN,Female,2A,4+,Y,Any,10,2014,0.01,3182.314902,318231.4902
302,TRAIN,Male,2B,0,N,Named,4,2014,0.09,28405.12654,315612.5171
303,TRAIN,Male,2B,0,N,Named,4,2014,0.09,28405.12654,315612.5171
304,TRAIN,Male,2B,0,N,Named,4,2014,0.09,28405.12654,315612.5171
305,TRAIN,Male,2B,0,N,Named,4,2014,0.09,28405.12654,315612.5171
306,TRAIN,Male,5B,1,N,Named,5,2013,0.06,18748.9031,312481.7183
307,TRAIN,Male,5B,1,N,Named,5,2013,0.06,18748.9031,312481.7183
308,TRAIN,Male,5B,1,N,Named,5,2013,0.06,18748.9031,312481.7183
309,TRAIN,Male,5B,1,N,Named,5,2013,0.06,18748.9031,312481.7183
310,TRAIN,Male,5B,1,N,Named,5,2013,0.06,18748.9031,312481.7183
312,TRAIN,Female,4A,4+,Y,Any,2,2013,0.08,24517.4813,306468.5163
313,TRAIN,Female,4A,4+,Y,Any,2,2013,0.08,24517.4813,306468.5163
314,TRAIN,Female,4A,4+,Y,Any,2,2013,0.08,24517.4813,306468.5163
315,TRAIN,Female,4A,4+,Y,Any,2,2013,0.08,24517.4813,306468.5163
316,TRAIN,Male,3A,4+,Y,Any,7,2014,0.06,18137.52673,302292.1122
317,TRAIN,Male,3A,4+,Y,Any,7,2014,0.06,18137.52673,302292.1122
318,TRAIN,Male,3A,4+,Y,Any,7,2014,0.06,18137.52673,302292.1122
319,TRAIN,Male,3A,4+,Y,Any,7,2014,0.06,18137.52673,302292.1122
320,TRAIN,Male,3A,4+,Y,Any,7,2014,0.06,18137.52673,302292.1122
321,TRAIN,Male,2B,3,N,Named,4,2014,0.06,18064.26548,301071.0913
322,TRAIN,Male,2B,3,N,Named,4,2014,0.06,18064.26548,301071.0913
323,TRAIN,Male,2B,3,N,Named,4,2014,0.06,18064.26548,301071.0913
324,TRAIN,Male,2B,3,N,Named,4,2014,0.06,18064.26548,301071.0913
327,TRAIN,Male,4A,3,N,Named,4,2014,0.12,36107.7075,300897.5625
328,TRAIN,Male,4A,3,N,Named,4,2014,0.12,36107.7075,300897.5625
330,TRAIN,Male,4A,3,N,Named,4,2014,0.12,36107.7075,300897.5625
331,TRAIN,Male,2B,1,N,Named,3,2014,0.07,20960.06821,299429.5459
332,TRAIN,Male,2B,1,N,Named,3,2014,0.07,20960.06821,299429.5459
334,TRAIN,Male,2B,1,N,Named,3,2014,0.07,20960.06821,299429.5459
336,TRAIN,Male,3A,4+,Y,Any,7,2013,0.06,17941.83593,299030.5988
337,TRAIN,Male,3A,4+,Y,Any,7,2013,0.06,17941.83593,299030.5988
338,TRAIN,Male,3A,4+,Y,Any,7,2013,0.06,17941.83593,299030.5988
339,TRAIN,Male,3A,4+,Y,Any,7,2013,0.06,17941.83593,299030.5988
340,TRAIN,Male,3A,4+,Y,Any,7,2013,0.06,17941.83593,299030.5988
342,TRAIN,Female,3A,2,N,Any,1,2013,0.16,47532.47134,297077.9459
343,TRAIN,Female,3A,2,N,Any,1,2013,0.16,47532.47134,297077.9459
345,TRAIN,Female,3A,2,N,Any,1,2013,0.16,47532.47134,297077.9459
346,TRAIN,Male,3A,0,N,Any,7,2013,0.07,20726.63717,296094.8167
347,TRAIN,Male,3A,0,N,Any,7,2013,0.07,20726.63717,296094.8167
348,TRAIN,Male,3A,0,N,Any,7,2013,0.07,20726.63717,296094.8167
349,TRAIN,Male,3A,0,N,Any,7,2013,0.07,20726.63717,296094.8167
351,TRAIN,Male,5A,2,N,Named,1,2013,0.06,17763.66942,296061.157
352,TRAIN,Male,5A,2,N,Named,1,2013,0.06,17763.66942,296061.157
353,TRAIN,Male,5A,2,N,Named,1,2013,0.06,17763.66942,296061.157
354,TRAIN,Male,5A,2,N,Named,1,2013,0.06,17763.66942,296061.157
355,TRAIN,Male,5A,2,N,Named,1,2013,0.06,17763.66942,296061.157
356,TRAIN,Male,2B,0,N,Any,4,2013,0.16,47208.50822,295053.1764
357,TRAIN,Male,2B,0,N,Any,4,2013,0.16,47208.50822,295053.1764
358,TRAIN,Male,2B,0,N,Any,4,2013,0.16,47208.50822,295053.1764
359,TRAIN,Male,2B,0,N,Any,4,2013,0.16,47208.50822,295053.1764
361,TRAIN,Male,2A,4+,Y,Named,0,2013,0.21,61797.41835,294273.4207
362,TRAIN,Male,2A,4+,Y,Named,0,2013,0.21,61797.41835,294273.4207
363,TRAIN,Male,2A,4+,Y,Named,0,2013,0.21,61797.41835,294273.4207
365,TRAIN,Male,2A,4+,Y,Named,0,2013,0.21,61797.41835,294273.4207
366,TRAIN,Male,1B,3,N,Named,5,2014,0.04,11697.59416,292439.854
369,TRAIN,Male,1B,3,N,Named,5,2014,0.04,11697.59416,292439.854
370,TRAIN,Male,1B,3,N,Named,5,2014,0.04,11697.59416,292439.854
372,TRAIN,Male,3A,1,N,Any,0,2014,0.04,11598.78479,289969.6198
374,TRAIN,Male,3A,1,N,Any,0,2014,0.04,11598.78479,289969.6198
375,TRAIN,Male,3A,1,N,Any,0,2014,0.04,11598.78479,289969.6198
376,TRAIN,Male,1B,1,N,Named,4,2014,0.07,20239.47145,289135.3064
377,TRAIN,Male,1B,1,N,Named,4,2014,0.07,20239.47145,289135.3064
380,TRAIN,Male,1B,1,N,Named,4,2014,0.07,20239.47145,289135.3064
382,TRAIN,Male,2A,3,N,Any,3,2013,0.03,8621.950758,287398.3586
384,TRAIN,Male,2A,3,N,Any,3,2013,0.03,8621.950758,287398.3586
385,TRAIN,Male,2A,3,N,Any,3,2013,0.03,8621.950758,287398.3586
386,TRAIN,Male,3B,3,N,Any,9,2014,0.02,5706.79507,285339.7535
387,TRAIN,Male,3B,3,N,Any,9,2014,0.02,5706.79507,285339.7535
388,TRAIN,Male,3B,3,N,Any,9,2014,0.02,5706.79507,285339.7535
390,TRAIN,Male,3B,3,N,Any,9,2014,0.02,5706.79507,285339.7535
392,TRAIN,Female,3A,4+,Y,Any,3,2013,0.05,14098.67148,281973.4296
393,TRAIN,Female,3A,4+,Y,Any,3,2013,0.05,14098.67148,281973.4296
394,TRAIN,Female,3A,4+,Y,Any,3,2013,0.05,14098.67148,281973.4296
396,TRAIN,Female,5B,4+,Y,Named,8,2014,0.07,19687.50389,281250.0556
397,TRAIN,Female,5B,4+,Y,Named,8,2014,0.07,19687.50389,281250.0556
398,TRAIN,Female,5B,4+,Y,Named,8,2014,0.07,19687.50389,281250.0556
399,TRAIN,Female,5B,4+,Y,Named,8,2014,0.07,19687.50389,281250.0556
400,TRAIN,Female,5B,4+,Y,Named,8,2014,0.07,19687.50389,281250.0556
401,TRAIN,Male,3A,0,N,Any,7,2013,0.04,11230.36914,280759.2285
402,TRAIN,Male,3A,0,N,Any,7,2013,0.04,11230.36914,280759.2285
